"","File","Query","SolutionStr","MySolutionStr"
"1","1000.txt","log.error(ServiceMBeanLogger.ROOT_LOGGER.postRegisterInitializationFailed(), e);","log.error(e);","log.warn(ServiceMBeanLogger.ROOT_LOGGER.initializationFailed(e, jbossInternalDescription()));"
"2","10004.txt","public void setStart(boolean start) {","void setStart(boolean start) {","public boolean isStart() {"
"3","1001.txt","if (topology_conf.containsKey(Config.TOPOLOGY_GROUPS)) {","if (topology_conf.containsKey(Config.TOPOLOGY_GROUPS) && topology_conf.get(Config.TOPOLOGY_GROUPS) != null) {","if (topology_conf.containsKey(Config.TOPOLOGY_USERS)) {"
"4","10041.txt","return cr.getPropertyDescriptors();","return cr.getBeanInfo().getPropertyDescriptors();","return cr.getPropertyDescriptor(propertyName);"
"5","10060.txt","public synchronized void close() throws IOException {","public void close() throws IOException {","public void close() throws IOException {"
"6","10071.txt","dest.nDev = source.nDev;","dest.nDev = dest.nDev;","dest.dev = source.dev;"
"7","10171.txt","return this.container.getCacheManagerConfiguration().globalJmxStatistics().cacheManagerName() + ""."" + this.cacheName;","return container.getCacheManagerConfiguration().globalJmxStatistics().cacheManagerName() + ""."" + this.cacheName;","return this.container.getCacheManagerConfiguration().globalJmxStatistics().cacheManagerName().hashCode() ^ this.cacheName.hashCode();"
"8","10179.txt","deploymentUnit.removeAttachment(EjbDeploymentAttachmentKeys.APPLICATION_EXCEPTION_DETAILS);","deploymentUnit.removeAttachment(EjbDeploymentAttachmentKeys.EJB_JAR_CONFIGURATION);","deploymentUnit.removeAttachment(EjbDeploymentAttachmentKeys.EJB_INJECTIONS);"
"9","10213.txt","PatchLogger.ROOT_LOGGER.cannotDeleteFile(workDir.getAbsolutePath());","PatchLogger.ROOT_LOGGER.debugf(""failed to remove work directory (%s)"", workDir);","PatchLogger.ROOT_LOGGER.debugf(e, ""failed to close input stream"");"
"10","10215.txt","throw new RuntimeException(""Could not clear up ""+getTestDirectory());","// Ignore, because by this time, it is too late.","in = new InputStreamReader(new FileInputStream(file));"
"11","10218.txt","return optima.clone();","return (RealPointValuePair[]) optima.clone();","return optima[0];"
"12","10219.txt","return optima.clone();","return (VectorialPointValuePair[]) optima.clone();","return optima[0];"
"13","10220.txt","return optima.clone();","return (RealPointValuePair[]) optima.clone();","return optima[0];"
"14","10227.txt","return map.get(key);","return (NumberTransformer) map.get(key);","return map.keySet();"
